t,f,m,cg
0,0.0,2.321,310.5
0.01,18.15,2.32096,310.5
0.02,1195.14,2.31809,310.5
0.03,2264.26,2.3099,310.5
0.04,2353.98,2.29898,310.5
0.05,2301.31,2.28796,310.5
0.06,2230.24,2.27724,310.5
0.07,2218.64,2.26672,310.5
0.08,2193.69,2.25628,310.5
0.09,2195.46,2.24589,310.5
0.1,2221.16,2.23544,310.5
0.2,2464.37,2.12459,310.5
0.3,2415.98,2.00913,310.5
0.4,2459.33,1.89378,310.5
0.5,2481.51,1.77689,310.5
0.6,2557.37,1.65768,310.5
0.7,2560.4,1.5366,310.5
0.8,2589.38,1.41476,310.5
0.9,2608.28,1.29179,310.5
1,2599.97,1.16857,310.5
1.1,2567.46,1.04631,310.5
1.2,2552.08,0.925193,310.5
1.3,2513.27,0.805354,310.5
1.4,2465.13,0.687571,310.5
1.5,2406.91,0.572305,310.5
1.6,2365.58,0.459394,310.5
1.7,2339.37,0.348081,310.5
1.8,2322.73,0.237782,310.5
1.9,2310.89,0.128157,310.5
1.95,2285.18,0.0737883,310.5
1.97,2112.54,0.0529794,310.5
2,1549.75,0.0269859,310.5
2.02,1115.75,0.0143735,310.5
2.04,591.77,0.00629392,310.5
2.05,408.04,0.0039285,310.5
2.06,243.72,0.00238652,310.5
2.08,103.33,0.000744369,310.5
2.1,38.56,7.29823E-05,310.5
2.108,0,0,310.5
