PRES (hPa),HGHT (m),TEMP (C),DWPT (C),RELH (%),MIXR (g/kg),DRCT (deg),SPED (m/s),THTA (K),THTE (K),THTV (K)
1018.9,49,24.7,14.2,52,10.03,286,6.6,296.3,325.5,298.0
1016.6,69,23.7,13.7,53,9.73,286,6.6,295.5,323.8,297.2
1015.3,79,23.4,13.8,55,9.79,286,6.6,295.2,323.7,297.0
1013.9,92,23.1,14.0,56,9.92,287,6.6,295.1,323.9,296.9
1012.7,102,22.5,14.1,59,10.04,288,6.6,294.5,323.6,296.3
1011.6,112,22.2,14.2,60,10.09,288,6.6,294.4,323.6,296.2
1009.9,126,22.1,14.2,61,10.14,289,6.5,294.5,323.7,296.2
1009.1,133,22.0,14.2,61,10.14,290,6.5,294.4,323.7,296.2
1008.4,139,22.0,14.2,61,10.13,289,6.6,294.4,323.7,296.2
1007.3,148,21.9,14.2,62,10.12,289,6.7,294.4,323.7,296.2
1006.2,158,21.8,14.2,62,10.15,289,6.8,294.4,323.8,296.2
1004.9,169,21.7,14.2,62,10.21,289,6.8,294.4,323.9,296.3
1004.1,177,21.7,14.3,63,10.28,289,6.9,294.5,324.1,296.3
1003.1,185,21.7,14.4,63,10.31,288,6.9,294.5,324.3,296.4
1002.1,194,21.5,14.2,63,10.24,288,6.9,294.5,324.1,296.3
1001.4,200,21.5,14.3,63,10.26,287,6.9,294.5,324.2,296.3
1000.7,206,21.4,14.3,64,10.26,287,7.0,294.5,324.1,296.3
1000.0,212,21.4,14.3,64,10.30,288,7.0,294.5,324.3,296.3
998.7,223,21.3,14.3,64,10.28,287,6.9,294.6,324.3,296.4
997.9,230,21.2,14.2,64,10.22,287,6.8,294.5,324.0,296.3
996.8,240,21.0,14.1,64,10.18,287,6.7,294.4,323.9,296.3
995.8,248,21.0,14.1,65,10.21,287,6.6,294.5,324.0,296.3
994.8,257,20.9,14.1,65,10.24,287,6.5,294.5,324.1,296.3
993.7,266,20.8,14.1,65,10.22,287,6.4,294.5,324.0,296.3
992.9,274,20.8,14.1,66,10.24,287,6.3,294.5,324.1,296.3
991.9,282,20.7,14.2,66,10.29,287,6.3,294.5,324.2,296.3
991.0,290,20.6,14.3,67,10.36,287,6.2,294.5,324.5,296.4
989.9,300,20.6,14.2,67,10.36,288,6.3,294.6,324.5,296.4
988.6,311,20.5,14.2,67,10.36,288,6.3,294.6,324.5,296.4
987.5,320,20.4,14.2,68,10.35,287,6.3,294.6,324.5,296.4
986.3,331,20.3,14.2,68,10.34,287,6.2,294.6,324.5,296.4
985.0,343,20.2,14.1,68,10.29,288,6.2,294.6,324.3,296.4
983.6,355,20.0,14.0,68,10.24,288,6.1,294.5,324.1,296.3
982.3,367,19.9,14.0,69,10.26,288,6.0,294.6,324.2,296.4
980.8,380,19.8,13.9,69,10.24,288,5.9,294.6,324.2,296.4
979.7,389,19.7,13.9,69,10.22,288,5.9,294.6,324.1,296.4
978.4,401,19.6,13.8,69,10.21,287,5.9,294.6,324.1,296.4
977.1,412,19.5,13.9,70,10.24,287,5.9,294.6,324.2,296.4
975.7,424,19.4,13.8,70,10.24,286,5.8,294.7,324.3,296.5
974.4,436,19.3,13.7,70,10.19,286,5.8,294.6,324.1,296.4
973.3,446,19.1,13.7,71,10.15,285,5.8,294.5,323.9,296.3
972.2,456,19.0,13.6,71,10.15,286,5.9,294.5,323.8,296.3
970.7,468,18.9,13.6,71,10.15,286,5.9,294.5,323.9,296.3
969.4,480,18.7,13.6,72,10.14,285,5.9,294.5,323.8,296.3
967.9,493,18.6,13.6,72,10.14,284,5.9,294.5,323.8,296.3
966.6,505,18.5,13.6,73,10.15,284,5.8,294.5,323.8,296.3
965.5,514,18.5,13.6,73,10.20,283,5.8,294.6,324.0,296.4
964.4,524,18.3,13.6,74,10.20,282,5.7,294.5,324.0,296.3
963.1,536,18.2,13.6,74,10.19,282,5.5,294.5,323.9,296.3
962.1,545,18.2,13.6,75,10.23,282,5.4,294.5,324.1,296.3
960.9,555,18.0,13.5,75,10.19,282,5.4,294.5,323.9,296.3
960.0,564,17.9,13.6,76,10.24,282,5.2,294.5,324.1,296.3
958.8,574,17.8,13.5,76,10.21,283,5.1,294.5,324.0,296.3
957.8,584,17.8,13.5,76,10.23,284,5.0,294.5,324.1,296.3
956.9,592,17.7,13.5,77,10.24,285,4.9,294.5,324.1,296.3
956.0,599,17.7,13.6,77,10.27,286,4.8,294.6,324.2,296.4
955.1,608,17.5,13.5,77,10.24,287,4.7,294.5,324.1,296.3
953.9,618,17.4,13.5,78,10.24,288,4.6,294.5,324.1,296.3
953.1,626,17.4,13.5,78,10.25,289,4.5,294.5,324.1,296.3
952.2,634,17.3,13.5,78,10.26,290,4.3,294.5,324.2,296.3
